genero,idade,peso,percentual_de_gordura,imc,tipo_de_dieta,tipo_de_treino,frequencia_de_treino_semanal,nivel_de_experiencia
Feminino,43,83.2,25.3,21.87,Baixo Carboidrato,Cardio,4,Avançado
Feminino,55,55.9,20.3,15.15,Vegana,Cardio,3,Iniciante
Masculino,42,63.1,23.0,21.57,Paleolítica,HIIT,3,Iniciante
Feminino,28,68.2,23.9,23.59,Balanceada,Força,1,Iniciante
Feminino,21,67.2,30.5,25.94,Vegana,Yoga,2,Iniciante
Feminino,25,66.2,27.0,25.53,Balanceada,HIIT,1,Iniciante
Masculino,22,101.8,28.7,29.75,Cetogênica,HIIT,3,Iniciante
Feminino,24,65.2,26.6,21.06,Vegetariana,Yoga,3,Iniciante
Feminino,43,58.5,23.7,25.33,Baixo Carboidrato,HIIT,4,Intermediário
Feminino,33,65.9,22.3,25.12,Vegetariana,Cardio,2,Iniciante
Masculino,52,53.3,18.2,17.62,Vegana,HIIT,2,Intermediário
Feminino,28,70.5,27.7,27.9,Balanceada,Força,3,Intermediário
Feminino,41,42.8,18.9,14.13,Vegana,Yoga,3,Iniciante
Masculino,26,61.8,23.7,19.09,Vegetariana,Cardio,1,Iniciante
Feminino,28,81.3,23.6,20.94,Cetogênica,Yoga,5,Intermediário
Feminino,40,43.4,18.1,13.86,Cetogênica,Cardio,3,Iniciante
Masculino,28,121.0,35.0,34.61,Baixo Carboidrato,Força,4,Intermediário
Feminino,45,57.9,23.5,19.57,Vegetariana,HIIT,3,Intermediário
Feminino,44,79.2,18.2,20.84,Baixo Carboidrato,HIIT,3,Intermediário
Masculino,51,70.8,24.3,23.95,Baixo Carboidrato,HIIT,3,Intermediário
Masculino,33,68.0,23.3,24.09,Cetogênica,Yoga,2,Iniciante
Feminino,26,53.8,22.1,19.78,Baixo Carboidrato,Força,4,Intermediário
Masculino,23,87.1,27.3,28.78,Cetogênica,Cardio,4,Intermediário
Feminino,58,90.5,31.1,30.6,Vegetariana,Cardio,1,Iniciante
Feminino,49,79.2,25.2,26.48,Paleolítica,HIIT,3,Iniciante
Feminino,34,74.2,32.6,30.08,Baixo Carboidrato,Cardio,2,Iniciante
Masculino,25,64.7,25.4,28.75,Paleolítica,Yoga,5,Avançado
Masculino,48,94.1,29.1,32.56,Vegetariana,HIIT,3,Iniciante
Masculino,51,70.7,32.7,29.42,Vegetariana,Yoga,2,Iniciante
Masculino,30,86.5,29.5,30.27,Vegana,HIIT,4,Avançado
Feminino,22,106.9,28.5,28.41,Vegana,HIIT,1,Iniciante
Feminino,26,58.2,15.7,18.16,Baixo Carboidrato,Força,1,Iniciante
Feminino,56,52.2,21.9,19.41,Baixo Carboidrato,Força,3,Intermediário
Masculino,42,73.1,29.3,27.85,Vegana,HIIT,4,Intermediário
Feminino,22,42.2,22.2,16.89,Baixo Carboidrato,HIIT,3,Iniciante
Feminino,50,58.8,20.4,21.59,Balanceada,Força,3,Iniciante
Feminino,42,59.0,21.3,19.47,Vegetariana,Yoga,5,Avançado
Masculino,51,63.0,25.7,24.02,Baixo Carboidrato,Cardio,4,Intermediário
Feminino,48,115.7,34.1,33.45,Paleolítica,Força,2,Iniciante
Masculino,26,69.4,25.4,22.41,Vegetariana,Yoga,3,Iniciante
Masculino,24,58.2,24.6,23.94,Cetogênica,Força,3,Iniciante
Feminino,19,50.9,21.4,18.03,Paleolítica,Yoga,3,Iniciante
Masculino,55,88.7,25.9,25.93,Baixo Carboidrato,Yoga,3,Avançado
Feminino,43,64.8,23.2,23.53,Vegana,Força,3,Intermediário
Masculino,18,66.4,25.6,21.67,Paleolítica,Força,1,Iniciante
Masculino,18,62.1,22.5,24.56,Balanceada,Yoga,4,Intermediário
Masculino,29,121.9,28.7,30.48,Paleolítica,Yoga,3,Iniciante
Masculino,55,50.0,17.1,16.15,Balanceada,Força,1,Iniciante
Masculino,48,83.2,21.0,21.88,Paleolítica,HIIT,5,Avançado
Masculino,54,64.3,23.4,22.51,Balanceada,HIIT,4,Avançado
Masculino,57,76.5,30.7,28.78,Balanceada,HIIT,2,Iniciante
Masculino,33,57.7,25.6,24.67,Vegana,Cardio,5,Avançado
Feminino,27,54.8,20.9,17.1,Balanceada,HIIT,5,Intermediário
Masculino,56,70.0,25.8,24.51,Baixo Carboidrato,Yoga,2,Iniciante
Feminino,51,71.5,25.7,24.15,Paleolítica,Yoga,3,Intermediário
Feminino,19,120.7,35.0,40.34,Cetogênica,Cardio,3,Intermediário
Feminino,22,61.7,29.3,26.69,Cetogênica,HIIT,5,Intermediário
Feminino,36,55.9,18.8,14.69,Paleolítica,Cardio,3,Iniciante
Masculino,43,65.5,26.9,20.22,Vegana,Força,2,Iniciante
Masculino,55,89.0,26.9,26.02,Baixo Carboidrato,Yoga,4,Avançado
Feminino,20,65.3,31.6,28.27,Cetogênica,Cardio,3,Iniciante
Feminino,36,73.3,24.5,24.2,Cetogênica,Força,3,Iniciante
Masculino,25,58.4,24.0,25.61,Balanceada,Yoga,4,Avançado
Masculino,32,88.3,22.6,24.98,Paleolítica,HIIT,5,Avançado
Masculino,41,56.9,26.1,24.31,Vegana,HIIT,2,Iniciante
Feminino,31,86.0,27.1,27.76,Cetogênica,Força,3,Iniciante
Feminino,34,65.7,28.1,25.03,Cetogênica,HIIT,2,Iniciante
Masculino,56,91.2,35.0,35.17,Vegetariana,Força,3,Iniciante
Feminino,44,90.1,26.8,22.74,Vegana,Yoga,4,Iniciante
Masculino,49,73.7,31.4,30.66,Cetogênica,HIIT,3,Iniciante
Feminino,22,114.8,35.0,44.86,Baixo Carboidrato,HIIT,4,Iniciante
Feminino,19,72.4,22.0,19.25,Balanceada,Cardio,3,Intermediário
Masculino,38,55.9,25.6,21.83,Paleolítica,Cardio,2,Iniciante
Masculino,20,71.2,25.8,24.95,Baixo Carboidrato,Força,2,Intermediário
Masculino,30,113.1,28.9,31.01,Balanceada,Força,3,Iniciante
Masculino,40,74.4,30.5,28.7,Paleolítica,HIIT,4,Iniciante
Masculino,27,62.7,25.6,23.89,Baixo Carboidrato,Força,2,Iniciante
Feminino,18,72.4,32.2,30.55,Vegetariana,Força,2,Iniciante
Feminino,53,87.2,30.6,28.13,Vegetariana,HIIT,2,Iniciante
Masculino,20,101.2,28.8,26.6,Balanceada,Força,3,Iniciante
Masculino,55,125.6,35.0,38.76,Cetogênica,Força,3,Iniciante
Masculino,51,85.6,27.4,25.85,Balanceada,HIIT,3,Avançado
Feminino,30,62.6,23.6,23.85,Baixo Carboidrato,HIIT,3,Intermediário
Feminino,32,102.4,31.9,26.11,Vegana,Força,2,Iniciante
Feminino,41,66.5,26.6,23.29,Paleolítica,Yoga,2,Iniciante
Feminino,20,93.4,28.9,31.2,Balanceada,Força,2,Iniciante
Feminino,39,56.0,17.9,17.49,Balanceada,Yoga,4,Avançado
Masculino,38,55.7,21.5,19.05,Balanceada,Força,5,Avançado
Feminino,56,53.0,19.1,19.71,Paleolítica,Cardio,2,Iniciante
Masculino,42,95.9,29.2,28.02,Baixo Carboidrato,HIIT,1,Iniciante
Feminino,54,52.6,24.0,18.62,Vegetariana,Força,3,Iniciante
Masculino,20,101.2,30.8,29.89,Baixo Carboidrato,Cardio,2,Iniciante
Masculino,58,75.1,29.1,23.7,Baixo Carboidrato,Força,3,Iniciante
Masculino,36,48.5,20.9,17.2,Baixo Carboidrato,Yoga,2,Iniciante
Feminino,40,53.1,22.0,20.48,Paleolítica,Cardio,2,Iniciante
Masculino,27,87.4,35.0,32.9,Vegana,Cardio,4,Intermediário
Masculino,22,108.5,27.9,29.43,Vegetariana,Força,2,Iniciante
Feminino,40,72.6,31.7,28.35,Vegetariana,HIIT,3,Iniciante
Masculino,39,68.6,24.5,17.31,Vegana,Cardio,3,Intermediário
Masculino,20,93.7,34.1,31.32,Balanceada,Cardio,1,Iniciante
Masculino,59,88.5,30.5,28.56,Balanceada,HIIT,3,Intermediário
Masculino,56,81.5,29.9,28.54,Paleolítica,Cardio,3,Intermediário
Masculino,34,100.7,35.0,37.91,Paleolítica,Força,1,Iniciante
Feminino,53,51.6,21.7,17.84,Vegetariana,Yoga,2,Iniciante
Feminino,50,108.5,35.0,34.25,Balanceada,HIIT,2,Iniciante
Masculino,57,44.2,17.5,14.42,Vegana,Yoga,2,Iniciante
Feminino,48,115.0,35.0,33.24,Cetogênica,HIIT,3,Iniciante
Feminino,43,53.1,23.8,20.99,Baixo Carboidrato,HIIT,2,Iniciante
Masculino,51,70.6,28.8,28.3,Cetogênica,HIIT,3,Intermediário
Feminino,41,63.6,25.0,25.18,Cetogênica,Cardio,5,Avançado
Feminino,56,85.6,25.8,29.95,Vegana,HIIT,5,Avançado
Feminino,44,71.6,29.7,25.37,Balanceada,HIIT,2,Iniciante
Feminino,38,102.2,27.4,27.17,Vegana,Yoga,3,Iniciante
Masculino,43,113.2,34.0,33.8,Baixo Carboidrato,HIIT,3,Intermediário
Feminino,20,93.6,33.7,31.29,Vegana,Força,1,Iniciante
Feminino,51,44.8,21.4,16.88,Paleolítica,Cardio,4,Iniciante
Masculino,43,94.3,26.3,27.86,Baixo Carboidrato,HIIT,4,Iniciante
Feminino,52,56.6,25.6,22.39,Vegana,Cardio,3,Intermediário
Masculino,31,79.0,30.3,27.02,Paleolítica,Cardio,4,Intermediário
Masculino,51,86.5,29.6,26.69,Balanceada,Força,4,Avançado
Masculino,28,87.3,23.6,24.44,Paleolítica,Força,5,Avançado
Feminino,38,71.2,24.9,20.16,Vegana,Cardio,1,Iniciante
Feminino,52,73.5,27.2,23.72,Cetogênica,Yoga,3,Intermediário
Feminino,56,129.5,31.2,34.05,Balanceada,Cardio,1,Iniciante
Feminino,57,81.9,26.1,23.67,Cetogênica,Cardio,5,Avançado
Feminino,28,55.2,22.4,23.88,Balanceada,Cardio,3,Iniciante
Masculino,42,53.8,20.1,18.18,Balanceada,HIIT,3,Intermediário
Feminino,35,59.0,23.3,21.4,Baixo Carboidrato,Yoga,3,Iniciante
Feminino,20,120.2,35.0,40.16,Balanceada,HIIT,2,Iniciante
Masculino,52,74.6,25.2,28.07,Balanceada,HIIT,2,Iniciante
Feminino,34,54.7,26.7,23.69,Paleolítica,HIIT,3,Iniciante
Feminino,44,57.8,22.0,20.01,Vegana,Yoga,3,Iniciante
Masculino,39,68.6,20.0,17.32,Paleolítica,Yoga,4,Intermediário
Feminino,42,52.3,22.3,20.67,Balanceada,Força,1,Iniciante
Masculino,53,73.2,29.1,30.46,Paleolítica,HIIT,4,Intermediário
Masculino,38,57.2,27.8,23.52,Vegana,Força,5,Avançado
Masculino,18,48.6,24.0,21.05,Cetogênica,Cardio,1,Iniciante
Feminino,57,59.4,23.7,23.5,Paleolítica,Força,4,Avançado
Feminino,37,56.3,24.8,22.0,Cetogênica,Cardio,4,Intermediário
Masculino,21,63.3,27.1,26.7,Balanceada,Força,3,Iniciante
Feminino,32,68.2,24.0,22.27,Balanceada,HIIT,1,Iniciante
Masculino,21,61.4,24.1,24.89,Cetogênica,Cardio,4,Avançado
Masculino,28,67.3,23.2,23.29,Baixo Carboidrato,Cardio,1,Iniciante
Masculino,22,71.4,23.3,22.79,Paleolítica,Yoga,3,Iniciante
Masculino,41,73.4,30.8,27.98,Balanceada,Força,4,Iniciante
Feminino,48,57.6,25.7,25.24,Baixo Carboidrato,Força,3,Intermediário
Masculino,25,123.2,28.9,31.11,Baixo Carboidrato,Cardio,2,Iniciante
Masculino,33,53.4,22.2,19.39,Baixo Carboidrato,Yoga,3,Iniciante
Masculino,22,58.9,21.5,19.9,Cetogênica,Força,3,Iniciante
Feminino,37,77.3,30.3,31.36,Balanceada,Cardio,1,Iniciante
Feminino,41,71.3,19.6,18.55,Vegetariana,Yoga,2,Iniciante
Feminino,20,102.2,34.7,30.18,Balanceada,Cardio,2,Iniciante
Masculino,43,54.9,17.7,16.57,Balanceada,HIIT,2,Iniciante
Feminino,54,86.7,29.6,27.98,Balanceada,HIIT,3,Intermediário
Masculino,49,101.9,35.0,36.52,Vegetariana,Yoga,1,Iniciante
Feminino,53,56.7,20.4,18.51,Baixo Carboidrato,HIIT,4,Intermediário
Masculino,40,51.5,19.6,15.54,Paleolítica,Yoga,3,Iniciante
Feminino,57,76.6,23.4,22.13,Vegana,Cardio,4,Intermediário
Masculino,42,46.5,17.5,14.84,Baixo Carboidrato,Yoga,2,Iniciante
Feminino,21,98.1,27.8,27.76,Vegetariana,Força,2,Iniciante
Masculino,22,80.9,22.3,23.64,Cetogênica,Yoga,4,Avançado
Feminino,42,65.0,25.1,23.88,Vegetariana,Força,2,Iniciante
Feminino,24,72.8,23.3,23.51,Baixo Carboidrato,Yoga,2,Iniciante
Masculino,24,62.8,26.4,23.08,Paleolítica,Cardio,3,Iniciante
Feminino,23,59.2,30.2,25.99,Cetogênica,HIIT,1,Iniciante
Feminino,40,69.3,31.6,30.8,Vegetariana,Força,3,Intermediário
Feminino,53,69.0,19.8,17.78,Vegetariana,Cardio,3,Intermediário
Feminino,45,85.1,24.2,24.59,Balanceada,Yoga,5,Intermediário
Masculino,59,50.1,17.6,13.18,Balanceada,Cardio,3,Iniciante
Masculino,40,82.2,27.9,25.65,Baixo Carboidrato,Yoga,4,Avançado
Masculino,45,41.2,20.4,16.48,Paleolítica,Yoga,2,Iniciante
Feminino,21,96.3,35.0,36.24,Balanceada,Força,3,Intermediário
Masculino,42,108.6,35.0,36.3,Vegetariana,Yoga,2,Iniciante
Feminino,32,41.1,19.0,15.47,Cetogênica,Cardio,4,Intermediário
Feminino,45,58.2,23.2,24.85,Vegana,Cardio,4,Intermediário
Feminino,30,62.7,26.1,22.49,Paleolítica,Força,3,Iniciante
Feminino,32,126.5,35.0,37.76,Baixo Carboidrato,Cardio,3,Intermediário
Feminino,57,75.8,30.4,28.54,Cetogênica,Yoga,2,Iniciante
Masculino,27,88.9,24.9,22.67,Vegetariana,Yoga,3,Intermediário
Feminino,44,81.0,25.8,26.44,Paleolítica,HIIT,3,Intermediário
Masculino,47,73.3,29.3,28.29,Cetogênica,HIIT,4,Intermediário
Masculino,48,58.0,18.6,14.65,Balanceada,Yoga,3,Iniciante
Feminino,21,100.1,29.4,26.32,Balanceada,Yoga,3,Iniciante
Feminino,18,60.4,22.6,23.9,Cetogênica,Cardio,2,Iniciante
Feminino,48,52.6,24.1,19.09,Cetogênica,Yoga,3,Iniciante
Masculino,53,47.6,16.7,18.61,Vegetariana,Yoga,4,Intermediário
Feminino,49,46.5,20.2,15.91,Cetogênica,Cardio,4,Intermediário
Masculino,57,58.3,23.6,21.14,Paleolítica,Força,1,Iniciante
Feminino,53,74.9,29.6,28.9,Balanceada,Cardio,4,Iniciante
Masculino,32,78.6,31.1,29.97,Vegetariana,Cardio,3,Iniciante
Feminino,31,96.9,26.7,25.22,Cetogênica,Cardio,2,Iniciante
Feminino,33,68.2,32.0,30.32,Paleolítica,Força,4,Intermediário
Feminino,43,77.6,27.5,24.23,Balanceada,HIIT,3,Iniciante
Masculino,57,109.0,29.2,29.88,Vegana,Yoga,3,Iniciante
Masculino,41,78.4,27.6,26.51,Vegana,Yoga,4,Intermediário
Feminino,50,48.3,21.7,15.43,Vegetariana,Yoga,1,Iniciante
Masculino,32,47.0,21.0,20.89,Paleolítica,HIIT,3,Iniciante
Masculino,28,55.9,27.8,21.56,Paleolítica,Força,3,Iniciante
Masculino,49,79.4,31.4,26.85,Vegana,HIIT,2,Iniciante
Masculino,55,59.0,27.3,24.24,Vegana,Yoga,3,Intermediário
Masculino,19,82.9,26.6,21.58,Balanceada,Yoga,4,Intermediário
Masculino,51,68.3,26.2,25.72,Paleolítica,Yoga,3,Iniciante
Masculino,33,64.7,24.8,22.12,Paleolítica,Yoga,3,Intermediário
Masculino,18,73.1,25.3,22.81,Vegana,HIIT,3,Iniciante
Feminino,55,50.3,18.5,17.42,Paleolítica,Yoga,1,Iniciante
Masculino,56,95.8,31.8,31.65,Paleolítica,HIIT,3,Intermediário
Feminino,28,78.2,33.1,29.44,Baixo Carboidrato,Yoga,3,Intermediário
Masculino,28,86.7,32.2,33.04,Vegetariana,HIIT,4,Intermediário
Feminino,33,92.5,32.2,29.87,Cetogênica,Yoga,3,Iniciante
Masculino,57,58.6,25.0,21.25,Cetogênica,HIIT,2,Iniciante
Masculino,21,51.3,24.2,20.28,Balanceada,Cardio,3,Iniciante
Masculino,42,66.5,24.5,19.86,Balanceada,Força,2,Intermediário
Masculino,39,58.0,20.5,15.57,Baixo Carboidrato,HIIT,3,Intermediário
Feminino,40,72.1,29.6,26.81,Cetogênica,HIIT,3,Intermediário
Feminino,21,110.7,32.5,30.03,Baixo Carboidrato,Cardio,3,Iniciante
Masculino,57,64.9,24.5,24.43,Balanceada,HIIT,2,Intermediário
Feminino,22,62.2,24.6,26.92,Paleolítica,Força,5,Avançado
Feminino,25,88.0,25.8,23.13,Balanceada,Yoga,2,Iniciante
Feminino,55,48.6,18.8,15.71,Vegetariana,Yoga,2,Iniciante
Feminino,26,45.1,23.2,17.61,Balanceada,Cardio,3,Iniciante
Feminino,50,57.7,20.1,18.01,Paleolítica,Yoga,3,Avançado
Feminino,32,105.6,34.3,41.27,Baixo Carboidrato,Força,4,Iniciante
Feminino,42,73.1,24.4,20.68,Balanceada,Cardio,3,Iniciante
Feminino,18,65.0,21.0,19.64,Cetogênica,HIIT,2,Intermediário
Feminino,39,73.6,20.3,19.55,Paleolítica,Cardio,1,Iniciante
Masculino,45,52.7,17.2,15.41,Vegana,Yoga,2,Iniciante
Feminino,42,103.1,33.4,34.86,Baixo Carboidrato,HIIT,1,Iniciante
Masculino,55,69.7,28.9,24.71,Vegana,HIIT,2,Iniciante
Feminino,45,65.4,25.5,23.16,Cetogênica,Yoga,2,Iniciante
Feminino,40,72.9,24.6,19.36,Balanceada,HIIT,2,Iniciante
Masculino,54,57.9,27.1,22.89,Paleolítica,Força,2,Iniciante
Feminino,19,72.0,20.4,19.14,Baixo Carboidrato,Cardio,3,Intermediário
Feminino,28,86.0,23.7,27.75,Cetogênica,Força,2,Iniciante
Masculino,31,48.6,20.2,18.54,Vegetariana,Cardio,3,Intermediário
Masculino,24,52.6,27.7,21.34,Vegana,Cardio,2,Iniciante
Feminino,20,81.6,23.2,22.61,Vegetariana,Força,4,Avançado
Masculino,58,62.8,21.6,19.82,Cetogênica,HIIT,3,Avançado
Feminino,40,101.7,31.1,30.36,Paleolítica,HIIT,2,Iniciante
Feminino,31,47.5,22.0,17.45,Balanceada,Yoga,2,Iniciante
Masculino,27,67.2,28.7,24.08,Baixo Carboidrato,Força,2,Iniciante
Masculino,25,41.6,17.8,14.9,Vegetariana,HIIT,2,Intermediário
Masculino,40,73.3,31.5,28.65,Balanceada,Força,3,Iniciante
Masculino,55,85.0,25.1,26.52,Paleolítica,Força,3,Intermediário
Feminino,30,54.2,23.3,17.51,Baixo Carboidrato,Yoga,4,Iniciante
Masculino,20,51.1,17.9,17.47,Vegetariana,HIIT,2,Iniciante
Feminino,44,52.1,22.0,15.23,Vegana,Cardio,3,Iniciante
Feminino,52,59.8,26.3,20.45,Cetogênica,HIIT,3,Iniciante
Masculino,24,87.9,29.4,27.43,Baixo Carboidrato,Cardio,3,Avançado
Feminino,40,76.9,20.1,20.86,Baixo Carboidrato,Cardio,4,Intermediário
Masculino,23,41.4,14.5,13.52,Cetogênica,Força,2,Iniciante
Feminino,46,84.3,19.1,21.07,Paleolítica,Cardio,4,Intermediário
Masculino,50,73.4,30.1,30.15,Cetogênica,Yoga,3,Iniciante
Feminino,36,109.9,35.0,35.08,Balanceada,HIIT,1,Iniciante
Masculino,31,106.1,35.0,38.04,Baixo Carboidrato,Força,2,Iniciante
Masculino,38,83.0,25.2,27.43,Vegetariana,HIIT,5,Avançado
Masculino,42,62.4,18.4,15.9,Balanceada,Yoga,4,Iniciante
Feminino,33,53.2,20.2,19.32,Paleolítica,Força,2,Iniciante
Masculino,34,125.7,35.0,47.3,Vegana,Força,3,Intermediário
Masculino,29,106.4,33.4,32.47,Vegana,Força,4,Intermediário
Feminino,50,75.0,32.1,31.23,Balanceada,Yoga,2,Iniciante
Masculino,31,108.1,32.8,33.36,Balanceada,HIIT,3,Iniciante
Feminino,23,40.6,18.1,15.08,Vegetariana,Força,2,Iniciante
Feminino,26,71.1,20.9,18.33,Paleolítica,HIIT,2,Iniciante
Feminino,25,105.3,29.3,29.48,Paleolítica,HIIT,3,Iniciante
Feminino,39,128.0,35.0,38.63,Vegana,Força,2,Iniciante
Feminino,54,71.3,24.0,20.6,Vegana,Força,3,Iniciante
Feminino,35,59.0,23.4,18.62,Vegana,Força,2,Iniciante
Feminino,41,71.4,20.5,21.34,Vegetariana,Força,3,Iniciante
Feminino,44,61.1,22.8,22.43,Vegana,Cardio,4,Intermediário
Feminino,18,60.7,27.1,23.99,Vegetariana,Cardio,1,Iniciante
Feminino,47,68.7,20.8,22.18,Vegana,Yoga,3,Iniciante
Feminino,35,78.2,32.3,29.07,Cetogênica,Cardio,3,Intermediário
Masculino,27,61.8,24.2,18.85,Balanceada,Força,2,Iniciante
Feminino,23,42.0,17.4,16.81,Paleolítica,Cardio,3,Iniciante
Feminino,19,110.7,31.3,30.34,Vegetariana,Força,1,Iniciante
Feminino,20,65.3,23.3,28.26,Baixo Carboidrato,Yoga,4,Intermediário
Feminino,29,91.5,26.0,23.1,Balanceada,HIIT,3,Intermediário
Feminino,18,125.4,35.0,44.96,Baixo Carboidrato,Cardio,3,Intermediário
Feminino,43,58.4,26.4,22.55,Vegetariana,Cardio,3,Intermediário
Masculino,35,101.3,31.7,32.71,Vegetariana,Cardio,2,Iniciante
Feminino,25,128.1,35.0,42.8,Baixo Carboidrato,HIIT,2,Iniciante
Feminino,20,124.5,35.0,37.59,Vegana,Cardio,3,Iniciante
Masculino,55,88.2,28.7,30.16,Cetogênica,HIIT,4,Intermediário
Masculino,39,51.8,21.6,19.98,Cetogênica,Cardio,2,Iniciante
Feminino,34,79.6,29.9,29.6,Baixo Carboidrato,HIIT,3,Intermediário
Feminino,41,66.0,24.6,23.12,Baixo Carboidrato,HIIT,1,Iniciante
Feminino,20,128.2,35.0,37.85,Cetogênica,Cardio,2,Iniciante
Feminino,20,128.0,34.2,34.72,Baixo Carboidrato,Yoga,1,Iniciante
Masculino,34,65.6,25.4,25.01,Cetogênica,HIIT,3,Intermediário
Feminino,27,52.6,22.0,20.3,Vegetariana,Força,3,Iniciante
Masculino,25,58.0,24.2,23.25,Balanceada,Yoga,3,Intermediário
Masculino,30,91.0,27.4,22.97,Cetogênica,Força,3,Intermediário
Feminino,58,109.1,32.7,29.91,Balanceada,Força,3,Iniciante
Feminino,39,63.4,22.5,24.47,Cetogênica,Cardio,3,Intermediário
Masculino,28,63.0,26.8,24.02,Cetogênica,HIIT,2,Iniciante
Feminino,24,57.3,25.0,22.96,Cetogênica,Força,3,Iniciante
Feminino,52,43.8,22.3,16.7,Paleolítica,Cardio,3,Iniciante
Feminino,43,102.1,35.0,38.43,Cetogênica,HIIT,3,Intermediário
Feminino,22,98.8,25.0,27.96,Baixo Carboidrato,Yoga,1,Iniciante
Masculino,25,104.8,29.3,29.65,Vegana,Yoga,3,Intermediário
Masculino,45,75.1,28.8,32.09,Vegetariana,Cardio,3,Intermediário
Masculino,52,105.0,27.4,26.5,Paleolítica,Força,2,Iniciante
Masculino,20,54.5,22.0,17.19,Balanceada,Força,2,Iniciante
Feminino,45,113.6,35.0,38.87,Vegana,Força,2,Iniciante
Masculino,49,67.2,24.1,21.94,Baixo Carboidrato,HIIT,2,Iniciante
Masculino,45,51.0,23.9,18.73,Vegana,Yoga,2,Iniciante
Masculino,25,62.7,26.0,23.02,Cetogênica,Força,3,Iniciante
Feminino,32,65.4,28.5,25.22,Baixo Carboidrato,Força,2,Iniciante
Masculino,20,55.0,18.2,17.34,Cetogênica,Yoga,1,Iniciante
Feminino,45,89.5,27.2,28.25,Vegetariana,Cardio,3,Avançado
Masculino,36,90.3,32.9,33.16,Cetogênica,Força,4,Iniciante
Feminino,49,79.2,26.7,26.46,Vegetariana,Cardio,2,Iniciante
Masculino,32,77.2,21.6,21.15,Baixo Carboidrato,Força,2,Intermediário
Feminino,39,72.0,23.7,20.37,Balanceada,Cardio,2,Iniciante
Masculino,48,61.3,18.2,17.53,Baixo Carboidrato,Força,3,Iniciante
Masculino,18,51.9,20.7,17.13,Paleolítica,Yoga,2,Iniciante
Feminino,44,71.4,26.8,25.29,Vegetariana,Força,3,Iniciante
Feminino,56,51.1,25.1,17.68,Baixo Carboidrato,HIIT,1,Iniciante
Masculino,50,70.4,28.2,29.3,Vegetariana,Yoga,3,Iniciante
Feminino,21,101.2,31.1,29.89,Vegetariana,Yoga,2,Iniciante
Feminino,29,87.1,34.3,33.18,Cetogênica,Força,3,Avançado
Masculino,41,62.5,21.0,15.94,Vegetariana,Cardio,4,Intermediário
Masculino,49,61.6,22.5,20.11,Balanceada,Força,4,Intermediário
Masculino,18,59.1,22.9,18.88,Vegana,Cardio,1,Iniciante
Feminino,25,62.7,25.9,24.17,Paleolítica,Yoga,3,Avançado
Feminino,20,91.6,25.0,24.34,Vegetariana,Cardio,3,Intermediário
Masculino,24,123.6,31.6,31.21,Baixo Carboidrato,Yoga,3,Iniciante
Feminino,52,67.8,26.6,25.82,Vegetariana,Yoga,3,Iniciante
Masculino,21,62.2,25.8,26.9,Vegetariana,HIIT,5,Intermediário
Feminino,43,57.3,20.2,17.87,Balanceada,Cardio,3,Avançado
Masculino,41,63.2,17.4,19.74,Paleolítica,Cardio,5,Avançado
Masculino,31,58.3,25.5,23.94,Balanceada,HIIT,5,Intermediário
Feminino,40,60.0,19.8,16.97,Cetogênica,Cardio,3,Intermediário
Feminino,57,83.2,32.3,30.57,Cetogênica,Cardio,3,Avançado
Masculino,57,85.6,31.6,29.97,Balanceada,Yoga,4,Avançado
Feminino,40,60.4,16.9,17.1,Cetogênica,HIIT,2,Intermediário
Feminino,56,84.6,29.6,31.83,Baixo Carboidrato,Força,4,Intermediário
Masculino,29,88.2,27.2,24.68,Vegetariana,HIIT,4,Intermediário
Feminino,28,63.0,24.0,24.01,Cetogênica,Força,2,Iniciante
Feminino,37,70.2,34.7,30.37,Cetogênica,HIIT,4,Intermediário
Masculino,35,63.7,25.3,21.05,Vegetariana,Cardio,4,Intermediário
Feminino,31,53.0,23.3,19.69,Balanceada,Yoga,2,Iniciante
Masculino,18,59.3,28.5,24.05,Cetogênica,Cardio,5,Avançado
Masculino,52,68.7,20.2,17.7,Paleolítica,HIIT,2,Iniciante
Masculino,57,75.4,25.0,23.81,Balanceada,Cardio,3,Iniciante
Feminino,37,59.0,22.8,19.96,Cetogênica,Cardio,2,Iniciante
Masculino,56,64.7,26.1,28.0,Paleolítica,Cardio,4,Avançado
Masculino,41,51.2,20.0,16.72,Paleolítica,HIIT,2,Intermediário
Feminino,54,68.1,34.5,28.71,Baixo Carboidrato,Cardio,2,Iniciante
Feminino,31,68.4,27.4,24.8,Balanceada,Força,4,Intermediário
Feminino,57,65.0,26.3,26.69,Paleolítica,HIIT,5,Avançado
Masculino,58,89.2,34.2,33.98,Baixo Carboidrato,Força,3,Iniciante
Masculino,24,62.9,27.9,23.11,Paleolítica,HIIT,2,Iniciante
Masculino,48,71.7,26.9,26.66,Vegana,HIIT,3,Iniciante
Feminino,37,59.3,21.7,20.29,Paleolítica,HIIT,3,Iniciante
Feminino,52,53.5,23.1,17.68,Cetogênica,Yoga,3,Intermediário
Feminino,24,40.9,19.2,15.2,Vegana,Yoga,1,Iniciante
Feminino,23,83.5,22.3,21.08,Vegana,HIIT,4,Avançado
Masculino,56,128.7,35.0,40.63,Balanceada,Força,2,Iniciante
Masculino,18,125.8,35.0,45.13,Balanceada,HIIT,2,Intermediário
