genero,idade,peso,percentual_de_gordura,imc,classificacao_imc,tipo_de_dieta,tipo_de_treino,frequencia_de_treino_semanal,nivel_de_experiencia
Masculino,52,44.1,22.2,16.81,Abaixo do Peso,Balanceada,HIIT,3,Iniciante
Feminino,21,93.0,31.3,31.08,Obesidade Grau I,Paleolítica,Força,2,Iniciante
Masculino,48,70.1,25.6,19.62,Peso Normal,Paleolítica,HIIT,3,Iniciante
Feminino,54,58.3,27.4,23.06,Peso Normal,Vegetariana,HIIT,2,Iniciante
Feminino,51,65.4,26.7,21.61,Peso Normal,Cetogênica,HIIT,4,Iniciante
Feminino,29,108.8,35.0,39.47,Obesidade Grau II,Vegana,Yoga,2,Iniciante
Feminino,58,110.0,35.0,35.92,Obesidade Grau II,Baixo Carboidrato,HIIT,2,Iniciante
Feminino,57,64.2,27.0,27.78,Sobrepeso,Vegetariana,Yoga,5,Intermediário
Masculino,58,70.7,25.6,25.04,Sobrepeso,Cetogênica,HIIT,3,Iniciante
Feminino,35,102.3,33.8,33.02,Obesidade Grau I,Vegana,Força,2,Iniciante
Feminino,47,86.4,28.9,27.89,Sobrepeso,Paleolítica,Yoga,5,Intermediário
Feminino,50,109.9,32.6,34.69,Obesidade Grau I,Paleolítica,Yoga,3,Iniciante
Masculino,21,118.2,35.0,41.89,Obesidade Grau III,Vegetariana,HIIT,3,Iniciante
Masculino,48,44.2,21.1,16.25,Abaixo do Peso,Vegetariana,Yoga,4,Iniciante
Masculino,54,125.6,32.8,33.37,Obesidade Grau I,Paleolítica,Força,3,Iniciante
Masculino,31,108.2,34.9,33.38,Obesidade Grau I,Vegana,Força,2,Iniciante
Feminino,29,71.5,29.8,29.78,Sobrepeso,Baixo Carboidrato,Cardio,3,Intermediário
Masculino,24,52.1,24.6,20.87,Peso Normal,Baixo Carboidrato,Cardio,2,Iniciante
Feminino,56,47.5,16.3,13.59,Abaixo do Peso,Vegana,Cardio,3,Iniciante
Masculino,33,101.9,35.0,34.86,Obesidade Grau I,Vegetariana,Cardio,2,Iniciante
Feminino,41,121.9,35.0,43.72,Obesidade Grau III,Paleolítica,Força,2,Iniciante
Feminino,45,58.4,28.9,24.93,Obesidade Grau III,Vegetariana,Cardio,4,Intermediário
Masculino,18,64.4,31.3,27.49,Sobrepeso,Cetogênica,HIIT,4,Avançado
Feminino,31,57.6,23.2,23.65,Peso Normal,Vegetariana,Força,5,Avançado
Masculino,38,42.4,17.2,13.84,Abaixo do Peso,Baixo Carboidrato,Yoga,2,Iniciante
Masculino,31,76.9,19.6,20.86,Peso Normal,Cetogênica,Yoga,2,Intermediário
Feminino,20,51.3,25.5,20.55,Peso Normal,Balanceada,Yoga,1,Iniciante
Feminino,37,45.3,19.8,16.24,Abaixo do Peso,Paleolítica,Força,2,Intermediário
Masculino,57,66.3,26.1,21.65,Peso Normal,Cetogênica,Cardio,1,Iniciante
Feminino,58,46.5,20.0,16.66,Abaixo do Peso,Paleolítica,Cardio,3,Iniciante
Masculino,37,47.3,17.1,15.64,Abaixo do Peso,Vegetariana,HIIT,3,Intermediário
Masculino,48,78.3,27.0,26.17,Sobrepeso,Baixo Carboidrato,HIIT,1,Iniciante
Feminino,53,83.5,24.7,24.12,Peso Normal,Paleolítica,Yoga,5,Intermediário
Feminino,49,105.7,35.0,39.29,Obesidade Grau II,Vegetariana,Cardio,3,Iniciante
Feminino,57,96.3,29.7,31.8,Obesidade Grau I,Balanceada,Cardio,3,Intermediário
Feminino,19,51.6,22.6,20.68,Peso Normal,Baixo Carboidrato,Cardio,2,Iniciante
Masculino,54,72.1,25.5,20.84,Peso Normal,Vegana,Yoga,2,Intermediário
Feminino,50,71.4,25.8,25.29,Sobrepeso,Balanceada,Yoga,2,Iniciante
Masculino,37,45.2,20.9,16.0,Abaixo do Peso,Vegana,Cardio,3,Intermediário
Masculino,39,56.0,24.9,21.87,Peso Normal,Vegana,Yoga,1,Iniciante
Masculino,47,79.8,26.0,25.48,Sobrepeso,Cetogênica,Yoga,2,Iniciante
Masculino,30,101.6,35.0,36.02,Obesidade Grau II,Balanceada,Força,4,Intermediário
Masculino,43,112.3,30.8,33.54,Obesidade Grau I,Vegetariana,Força,3,Intermediário
Feminino,34,62.5,26.5,23.51,Peso Normal,Paleolítica,Cardio,3,Intermediário
Feminino,27,78.8,31.3,29.67,Sobrepeso,Paleolítica,Força,3,Intermediário
Feminino,25,59.2,21.8,25.96,Sobrepeso,Balanceada,Cardio,5,Avançado
Feminino,45,81.4,30.4,31.41,Obesidade Grau I,Paleolítica,Yoga,4,Intermediário
Feminino,44,85.3,24.4,24.65,Peso Normal,Balanceada,HIIT,5,Intermediário
Masculino,45,55.2,20.5,18.66,Peso Normal,Balanceada,Cardio,3,Intermediário
Masculino,23,64.7,23.6,22.4,Peso Normal,Baixo Carboidrato,Yoga,1,Iniciante
Masculino,22,117.6,35.0,41.65,Obesidade Grau III,Baixo Carboidrato,HIIT,3,Intermediário
Masculino,40,65.6,25.6,22.98,Peso Normal,Vegetariana,Cardio,2,Iniciante
Feminino,19,110.2,31.9,29.28,Sobrepeso,Vegana,Força,3,Intermediário
Masculino,52,62.6,28.1,26.4,Sobrepeso,Cetogênica,Cardio,3,Iniciante
Masculino,20,88.1,31.4,34.43,Obesidade Grau I,Paleolítica,Força,4,Intermediário
Masculino,24,74.6,28.2,25.53,Sobrepeso,Vegetariana,HIIT,2,Iniciante
Feminino,37,87.7,28.1,30.7,Obesidade Grau I,Baixo Carboidrato,Cardio,4,Intermediário
Feminino,31,64.1,22.6,19.77,Peso Normal,Cetogênica,Yoga,2,Iniciante
Masculino,47,51.9,19.7,18.83,Peso Normal,Vegetariana,HIIT,3,Iniciante
Feminino,38,56.8,26.9,22.2,Peso Normal,Cetogênica,HIIT,4,Intermediário
Masculino,36,83.7,23.9,22.24,Peso Normal,Baixo Carboidrato,Força,5,Avançado
Masculino,57,55.2,17.1,13.94,Abaixo do Peso,Paleolítica,Força,3,Intermediário
Masculino,45,88.5,34.4,33.29,Obesidade Grau I,Vegana,Força,1,Iniciante
Masculino,53,55.3,23.3,18.91,Peso Normal,Balanceada,Cardio,2,Iniciante
Feminino,52,70.6,31.7,28.26,Sobrepeso,Paleolítica,Força,3,Iniciante
Masculino,48,73.2,31.4,28.58,Sobrepeso,Vegana,Cardio,3,Iniciante
Masculino,28,63.2,28.1,24.07,Peso Normal,Vegana,HIIT,2,Iniciante
Masculino,49,66.3,29.7,26.88,Sobrepeso,Cetogênica,Força,2,Iniciante
Masculino,41,52.0,18.2,16.05,Abaixo do Peso,Vegetariana,Yoga,4,Intermediário
Feminino,37,70.2,34.0,31.22,Obesidade Grau I,Baixo Carboidrato,Força,2,Iniciante
Feminino,39,49.8,20.8,19.22,Peso Normal,Cetogênica,Cardio,2,Iniciante
Feminino,44,95.1,28.4,28.08,Sobrepeso,Balanceada,Cardio,4,Iniciante
Masculino,38,51.0,25.1,19.67,Peso Normal,Vegetariana,Cardio,1,Iniciante
Feminino,30,67.9,24.4,22.18,Peso Normal,Paleolítica,Yoga,2,Iniciante
Masculino,49,73.2,29.7,30.45,Obesidade Grau I,Baixo Carboidrato,HIIT,3,Iniciante
Masculino,26,107.5,31.1,33.18,Obesidade Grau I,Baixo Carboidrato,Yoga,4,Iniciante
Masculino,57,63.6,28.6,27.54,Sobrepeso,Balanceada,Yoga,4,Avançado
Feminino,18,54.8,24.0,19.43,Peso Normal,Paleolítica,Força,3,Iniciante
Feminino,46,52.1,22.9,19.13,Peso Normal,Cetogênica,HIIT,2,Iniciante
Feminino,40,72.6,29.3,28.35,Sobrepeso,Baixo Carboidrato,Yoga,3,Iniciante
Masculino,25,44.4,23.0,17.35,Abaixo do Peso,Balanceada,Cardio,2,Iniciante
Masculino,29,68.7,25.0,23.78,Peso Normal,Vegana,Força,2,Iniciante
Masculino,57,66.0,26.3,21.56,Peso Normal,Baixo Carboidrato,Cardio,1,Iniciante
Masculino,58,41.9,16.3,15.39,Abaixo do Peso,Cetogênica,Yoga,2,Iniciante
Feminino,41,73.0,31.0,27.48,Sobrepeso,Vegana,Cardio,3,Intermediário
Feminino,53,55.1,18.3,17.79,Abaixo do Peso,Balanceada,HIIT,3,Intermediário
Feminino,48,81.3,27.5,24.29,Peso Normal,Cetogênica,Cardio,5,Intermediário
Masculino,20,76.6,28.0,28.13,Sobrepeso,Cetogênica,Yoga,3,Iniciante
Feminino,56,43.5,20.8,14.2,Abaixo do Peso,Paleolítica,HIIT,1,Iniciante
Feminino,53,73.6,23.2,23.76,Peso Normal,Vegana,Cardio,2,Intermediário
Feminino,25,105.0,29.5,29.69,Sobrepeso,Vegana,HIIT,3,Intermediário
Feminino,21,102.6,29.2,30.3,Obesidade Grau I,Vegana,Força,3,Intermediário
Masculino,53,61.5,23.5,23.16,Peso Normal,Vegana,Força,2,Iniciante
Masculino,21,48.9,22.9,15.79,Abaixo do Peso,Balanceada,Força,4,Iniciante
Masculino,38,127.3,35.0,38.43,Obesidade Grau II,Paleolítica,Cardio,3,Iniciante
Feminino,23,72.5,25.0,23.42,Peso Normal,Cetogênica,HIIT,2,Iniciante
Feminino,29,55.9,21.7,17.84,Abaixo do Peso,Balanceada,HIIT,2,Iniciante
Masculino,25,81.4,24.8,21.4,Peso Normal,Vegetariana,Força,4,Avançado
Masculino,24,65.8,21.4,21.0,Peso Normal,Vegana,Yoga,2,Iniciante
Masculino,35,100.2,35.0,37.69,Obesidade Grau II,Vegana,Cardio,2,Iniciante
Masculino,55,64.0,24.4,22.4,Peso Normal,Baixo Carboidrato,Cardio,5,Avançado
Feminino,50,61.0,21.8,19.93,Peso Normal,Baixo Carboidrato,Cardio,4,Intermediário
Feminino,36,52.5,18.5,17.96,Abaixo do Peso,Cetogênica,Cardio,4,Intermediário
Feminino,57,96.2,31.9,31.76,Obesidade Grau I,Cetogênica,Yoga,2,Intermediário
Feminino,43,46.6,19.3,17.56,Abaixo do Peso,Balanceada,Yoga,2,Iniciante
Feminino,22,72.0,29.9,27.08,Sobrepeso,Vegana,Força,2,Iniciante
Feminino,26,89.3,27.2,25.55,Sobrepeso,Vegetariana,Yoga,4,Intermediário
Masculino,57,111.9,35.0,43.16,Obesidade Grau III,Vegetariana,Yoga,2,Intermediário
Masculino,28,73.1,25.1,26.22,Sobrepeso,Paleolítica,Cardio,3,Iniciante
Feminino,31,79.0,28.9,27.02,Sobrepeso,Cetogênica,HIIT,3,Iniciante
Masculino,46,48.2,21.0,16.3,Abaixo do Peso,Cetogênica,Cardio,3,Iniciante
Masculino,56,122.1,30.0,34.19,Obesidade Grau I,Baixo Carboidrato,HIIT,3,Iniciante
Feminino,37,61.4,23.5,25.89,Sobrepeso,Vegana,Cardio,2,Iniciante
Feminino,39,57.8,23.9,20.24,Peso Normal,Vegana,Yoga,4,Iniciante
Feminino,26,47.6,21.6,15.18,Abaixo do Peso,Vegana,Força,3,Intermediário
Masculino,55,71.7,25.6,27.34,Sobrepeso,Baixo Carboidrato,HIIT,3,Iniciante
Masculino,40,95.1,23.4,24.01,Peso Normal,Vegetariana,Força,2,Iniciante
Masculino,41,70.6,18.1,20.18,Peso Normal,Paleolítica,Yoga,3,Intermediário
Masculino,43,56.1,22.4,16.94,Abaixo do Peso,Paleolítica,Yoga,2,Iniciante
Masculino,47,72.6,25.6,21.68,Peso Normal,Baixo Carboidrato,Força,4,Intermediário
Masculino,47,56.6,23.1,24.84,Peso Normal,Baixo Carboidrato,Cardio,4,Intermediário
Masculino,30,86.0,26.5,27.78,Sobrepeso,Paleolítica,Yoga,3,Iniciante
Masculino,51,47.6,20.0,20.08,Peso Normal,Balanceada,Força,2,Intermediário
Masculino,32,62.2,24.1,23.4,Peso Normal,Cetogênica,Cardio,4,Intermediário
Feminino,28,85.3,25.2,26.62,Sobrepeso,Vegana,Yoga,3,Intermediário
Feminino,46,57.6,26.4,24.62,Peso Normal,Cetogênica,Yoga,4,Intermediário
Feminino,41,77.9,27.0,25.15,Sobrepeso,Baixo Carboidrato,HIIT,3,Intermediário
Feminino,38,123.2,35.0,46.94,Obesidade Grau III,Vegetariana,Cardio,3,Iniciante
Masculino,22,66.6,25.8,25.71,Sobrepeso,Cetogênica,Cardio,2,Iniciante
Masculino,50,70.7,26.1,25.06,Sobrepeso,Balanceada,Yoga,1,Iniciante
Feminino,24,81.7,22.8,21.5,Peso Normal,Baixo Carboidrato,Cardio,3,Avançado
Masculino,18,65.2,26.2,27.14,Sobrepeso,Cetogênica,Força,3,Intermediário
Feminino,24,55.4,18.2,17.67,Abaixo do Peso,Balanceada,Cardio,3,Avançado
Masculino,58,75.4,25.0,23.81,Peso Normal,Balanceada,HIIT,3,Intermediário
Feminino,48,106.2,35.0,39.47,Obesidade Grau II,Paleolítica,Yoga,3,Iniciante
Masculino,31,106.0,34.8,38.0,Obesidade Grau II,Baixo Carboidrato,Força,3,Iniciante
Masculino,57,49.7,20.6,17.83,Abaixo do Peso,Vegetariana,Força,4,Iniciante
Masculino,42,96.2,28.3,28.11,Sobrepeso,Cetogênica,Força,2,Iniciante
Feminino,57,96.5,26.3,27.89,Sobrepeso,Balanceada,Cardio,2,Intermediário
Feminino,22,108.0,28.7,29.61,Sobrepeso,Paleolítica,Cardio,1,Iniciante
Feminino,25,51.6,17.8,12.9,Abaixo do Peso,Baixo Carboidrato,Yoga,1,Iniciante
Masculino,31,66.6,28.5,23.87,Peso Normal,Vegana,HIIT,4,Intermediário
Feminino,31,67.3,25.4,24.43,Peso Normal,Paleolítica,Cardio,4,Intermediário
Feminino,21,96.0,32.1,32.44,Obesidade Grau I,Vegetariana,Força,3,Iniciante
Masculino,45,57.2,26.1,23.79,Peso Normal,Vegana,Força,4,Intermediário
Feminino,22,89.2,31.4,33.99,Obesidade Grau I,Vegetariana,Cardio,5,Intermediário
Masculino,51,63.5,25.5,24.79,Peso Normal,Vegetariana,Cardio,4,Iniciante
Masculino,30,90.6,30.7,32.87,Obesidade Grau I,Balanceada,Cardio,4,Iniciante
Masculino,39,59.3,23.8,17.71,Abaixo do Peso,Vegana,HIIT,4,Intermediário
Masculino,42,45.4,21.4,17.71,Abaixo do Peso,Paleolítica,HIIT,2,Iniciante
Masculino,24,63.2,29.8,23.2,Peso Normal,Vegana,Cardio,2,Iniciante
Masculino,51,63.1,27.2,26.62,Sobrepeso,Vegetariana,Força,3,Iniciante
Masculino,21,50.5,27.1,21.85,Peso Normal,Vegetariana,HIIT,3,Iniciante
Masculino,34,65.5,23.9,24.96,Obesidade Grau III,Cetogênica,Força,3,Intermediário
Masculino,45,50.4,19.0,15.74,Abaixo do Peso,Vegetariana,Yoga,1,Iniciante
Feminino,42,95.2,34.5,30.03,Obesidade Grau I,Vegana,Cardio,1,Iniciante
Masculino,22,44.6,18.3,15.25,Abaixo do Peso,Vegana,Yoga,3,Intermediário
Feminino,41,88.4,23.4,23.72,Peso Normal,Vegana,Cardio,4,Intermediário
Masculino,38,88.1,28.1,27.5,Sobrepeso,Cetogênica,Cardio,5,Intermediário
Feminino,28,67.4,25.7,24.18,Peso Normal,Cetogênica,HIIT,2,Iniciante
Masculino,50,52.3,24.3,23.24,Peso Normal,Paleolítica,Yoga,3,Iniciante
Masculino,41,64.7,23.6,23.49,Peso Normal,Vegana,Força,3,Iniciante
Feminino,18,63.7,30.1,27.22,Sobrepeso,Vegana,Yoga,2,Iniciante
Masculino,49,72.9,28.4,30.36,Obesidade Grau I,Paleolítica,Cardio,3,Iniciante
Masculino,47,84.6,25.9,24.44,Peso Normal,Baixo Carboidrato,HIIT,5,Avançado
Feminino,56,93.6,35.0,33.96,Obesidade Grau I,Paleolítica,HIIT,2,Iniciante
Masculino,18,91.9,30.9,30.35,Obesidade Grau I,Baixo Carboidrato,Força,1,Iniciante
Masculino,53,78.7,29.8,28.56,Sobrepeso,Balanceada,Força,2,Iniciante
Feminino,52,70.2,28.2,28.14,Sobrepeso,Paleolítica,HIIT,2,Intermediário
Feminino,48,67.5,25.3,23.64,Peso Normal,Baixo Carboidrato,Yoga,2,Iniciante
Feminino,39,80.5,25.6,25.98,Sobrepeso,Balanceada,Cardio,4,Avançado
Feminino,33,56.0,23.0,21.62,Peso Normal,Cetogênica,Força,4,Intermediário
Feminino,56,90.4,31.3,34.87,Obesidade Grau I,Baixo Carboidrato,Cardio,3,Iniciante
Masculino,31,86.3,28.3,27.87,Sobrepeso,Vegana,Yoga,3,Intermediário
Feminino,29,125.7,29.0,31.42,Obesidade Grau I,Balanceada,Cardio,4,Intermediário
Feminino,39,58.1,17.6,14.83,Abaixo do Peso,Vegana,Força,2,Iniciante
Masculino,25,81.4,29.0,31.42,Obesidade Grau I,Vegana,Yoga,3,Avançado
Feminino,23,107.8,28.7,28.95,Sobrepeso,Vegana,HIIT,4,Intermediário
Feminino,23,58.7,19.7,18.94,Peso Normal,Balanceada,Força,3,Iniciante
Masculino,42,88.8,25.5,23.83,Peso Normal,Balanceada,Yoga,3,Avançado
Masculino,23,59.4,22.1,18.54,Peso Normal,Baixo Carboidrato,Yoga,4,Avançado
Feminino,48,42.0,20.8,18.17,Abaixo do Peso,Vegana,HIIT,3,Iniciante
Feminino,30,64.0,21.6,18.3,Abaixo do Peso,Balanceada,Yoga,2,Iniciante
Masculino,38,71.4,25.6,23.05,Peso Normal,Cetogênica,Cardio,1,Iniciante
Feminino,30,61.2,24.0,19.74,Peso Normal,Vegana,Yoga,3,Avançado
Feminino,51,45.1,19.6,16.97,Abaixo do Peso,Paleolítica,Cardio,4,Intermediário
Feminino,58,66.4,21.1,21.67,Peso Normal,Baixo Carboidrato,Yoga,2,Iniciante
Feminino,23,54.6,21.3,18.03,Abaixo do Peso,Vegetariana,Yoga,3,Iniciante
Feminino,52,104.6,32.7,30.91,Obesidade Grau I,Baixo Carboidrato,HIIT,3,Iniciante
Masculino,19,76.4,32.2,29.1,Sobrepeso,Cetogênica,Cardio,4,Intermediário
Feminino,47,49.6,22.5,17.37,Abaixo do Peso,Vegetariana,HIIT,2,Intermediário
Feminino,30,91.4,26.0,23.09,Peso Normal,Paleolítica,Força,3,Iniciante
Feminino,23,57.1,27.5,23.77,Peso Normal,Paleolítica,Yoga,4,Intermediário
Feminino,42,70.6,28.2,25.62,Sobrepeso,Paleolítica,Yoga,1,Iniciante
Masculino,27,63.1,23.4,24.66,Peso Normal,Paleolítica,HIIT,3,Iniciante
Feminino,41,98.2,28.1,26.93,Sobrepeso,Vegetariana,HIIT,2,Iniciante
Masculino,43,86.8,24.0,22.35,Peso Normal,Baixo Carboidrato,Cardio,5,Intermediário
Feminino,22,98.5,31.2,27.87,Sobrepeso,Cetogênica,Yoga,2,Iniciante
Feminino,34,53.8,26.2,23.27,Peso Normal,Baixo Carboidrato,Cardio,2,Iniciante
Masculino,56,76.6,24.1,22.16,Peso Normal,Paleolítica,Cardio,4,Intermediário
Masculino,54,70.1,27.3,28.45,Sobrepeso,Baixo Carboidrato,Cardio,3,Iniciante
Masculino,24,51.4,20.5,18.22,Abaixo do Peso,Vegana,HIIT,3,Iniciante
Masculino,37,72.9,27.1,25.53,Sobrepeso,Vegetariana,HIIT,2,Iniciante
Feminino,32,78.4,27.0,28.43,Sobrepeso,Cetogênica,Força,3,Intermediário
Feminino,37,76.7,23.6,23.15,Peso Normal,Paleolítica,Yoga,4,Intermediário
Feminino,27,71.2,18.0,18.35,Abaixo do Peso,Paleolítica,Força,3,Iniciante
Masculino,43,71.2,30.1,25.85,Sobrepeso,Paleolítica,Força,2,Iniciante
Feminino,22,70.6,32.5,26.91,Sobrepeso,Vegetariana,Yoga,1,Iniciante
Masculino,54,84.0,24.1,24.29,Peso Normal,Vegetariana,Força,4,Intermediário
Feminino,39,81.6,29.0,26.96,Sobrepeso,Paleolítica,Cardio,2,Iniciante
Masculino,21,71.3,24.5,22.76,Peso Normal,Paleolítica,HIIT,3,Iniciante
Feminino,19,71.7,20.4,19.24,Peso Normal,Cetogênica,Força,3,Intermediário
Feminino,22,71.8,23.1,24.28,Peso Normal,Vegetariana,Força,2,Iniciante
Masculino,51,49.1,21.6,15.68,Abaixo do Peso,Baixo Carboidrato,Cardio,2,Iniciante
Feminino,50,51.8,20.3,17.71,Abaixo do Peso,Balanceada,HIIT,2,Iniciante
Feminino,59,96.5,33.5,33.01,Obesidade Grau I,Balanceada,Yoga,3,Iniciante
Feminino,22,56.9,26.7,23.67,Peso Normal,Vegetariana,Cardio,4,Intermediário
Feminino,40,87.6,25.2,25.06,Sobrepeso,Baixo Carboidrato,Força,5,Intermediário
Feminino,37,59.8,20.0,20.2,Peso Normal,Balanceada,Yoga,2,Intermediário
Masculino,22,121.6,31.1,35.53,Obesidade Grau II,Vegetariana,Yoga,2,Iniciante
Masculino,47,45.2,17.4,12.12,Abaixo do Peso,Vegetariana,Força,2,Iniciante
Masculino,21,88.8,34.0,34.67,Obesidade Grau I,Vegana,Yoga,3,Avançado
Feminino,39,80.3,28.4,25.92,Sobrepeso,Cetogênica,Yoga,4,Avançado
Feminino,20,118.1,35.0,36.05,Obesidade Grau II,Paleolítica,Força,2,Intermediário
Masculino,28,84.8,30.4,28.65,Sobrepeso,Baixo Carboidrato,HIIT,3,Avançado
Masculino,31,76.4,29.5,29.13,Sobrepeso,Cetogênica,Yoga,3,Iniciante
Masculino,33,111.5,34.4,32.23,Obesidade Grau I,Vegetariana,Yoga,1,Iniciante
Feminino,58,74.9,28.9,26.21,Sobrepeso,Balanceada,Cardio,4,Intermediário
Masculino,44,85.2,23.5,24.63,Peso Normal,Vegana,Força,5,Intermediário
Feminino,38,105.5,28.3,26.64,Sobrepeso,Vegana,Cardio,1,Iniciante
Masculino,30,61.2,21.4,19.55,Peso Normal,Paleolítica,HIIT,4,Avançado
Feminino,48,62.5,23.3,22.69,Peso Normal,Vegana,HIIT,2,Intermediário
Masculino,35,127.4,35.0,48.53,Obesidade Grau III,Vegetariana,Força,3,Iniciante
Masculino,44,48.0,20.5,17.85,Abaixo do Peso,Vegana,HIIT,3,Intermediário
Feminino,44,89.4,27.1,28.22,Sobrepeso,Baixo Carboidrato,HIIT,3,Intermediário
Feminino,50,95.3,32.5,36.78,Obesidade Grau II,Paleolítica,Yoga,3,Intermediário
Feminino,42,95.8,33.1,27.99,Sobrepeso,Vegana,Cardio,2,Iniciante
Feminino,56,88.7,27.9,25.91,Sobrepeso,Baixo Carboidrato,Cardio,3,Avançado
Feminino,21,110.2,27.4,29.9,Sobrepeso,Baixo Carboidrato,Cardio,3,Iniciante
Feminino,37,57.7,23.9,23.71,Peso Normal,Baixo Carboidrato,Yoga,5,Avançado
Feminino,53,125.2,33.6,34.32,Obesidade Grau I,Vegetariana,HIIT,1,Iniciante
Masculino,28,76.1,33.3,29.0,Sobrepeso,Vegetariana,Força,3,Intermediário
Feminino,56,69.4,24.9,24.6,Peso Normal,Baixo Carboidrato,HIIT,1,Iniciante
Masculino,30,54.0,22.3,17.45,Abaixo do Peso,Cetogênica,Cardio,4,Intermediário
Masculino,23,60.1,19.2,18.75,Peso Normal,Vegana,Cardio,3,Avançado
Feminino,48,70.9,27.5,26.36,Sobrepeso,Vegana,HIIT,3,Iniciante
Masculino,31,83.8,31.1,27.68,Sobrepeso,Cetogênica,HIIT,2,Iniciante
Masculino,45,54.7,20.0,18.49,Abaixo do Peso,Vegana,HIIT,2,Intermediário
Masculino,18,111.0,33.0,30.43,Obesidade Grau I,Cetogênica,Cardio,1,Iniciante
Feminino,42,56.9,24.0,20.4,Peso Normal,Cetogênica,HIIT,1,Iniciante
Masculino,40,63.7,27.0,24.26,Peso Normal,Paleolítica,Yoga,1,Iniciante
Masculino,35,122.2,33.4,32.8,Obesidade Grau I,Balanceada,HIIT,2,Intermediário
Masculino,18,65.1,28.5,27.11,Sobrepeso,Baixo Carboidrato,HIIT,2,Intermediário
Masculino,25,65.6,25.6,20.94,Peso Normal,Baixo Carboidrato,Yoga,2,Iniciante
Feminino,54,86.1,28.0,27.48,Sobrepeso,Paleolítica,Yoga,2,Intermediário
Masculino,53,67.5,31.1,28.48,Sobrepeso,Cetogênica,Cardio,3,Iniciante
Masculino,20,76.0,25.3,25.39,Sobrepeso,Cetogênica,Yoga,4,Iniciante
Feminino,58,126.2,35.0,44.2,Obesidade Grau III,Vegetariana,HIIT,2,Iniciante
Feminino,18,125.5,35.0,45.0,Obesidade Grau III,Cetogênica,Yoga,2,Iniciante
Feminino,19,48.9,19.5,17.32,Abaixo do Peso,Vegana,Força,4,Intermediário
Masculino,30,112.8,25.8,30.93,Obesidade Grau I,Vegetariana,Yoga,3,Iniciante
Feminino,52,55.7,28.8,23.2,Peso Normal,Balanceada,Yoga,3,Iniciante
Masculino,34,96.6,31.3,33.04,Obesidade Grau I,Baixo Carboidrato,Cardio,3,Iniciante
Masculino,41,57.2,21.8,20.52,Peso Normal,Baixo Carboidrato,Cardio,4,Intermediário
Feminino,41,74.1,29.0,28.6,Sobrepeso,Cetogênica,Yoga,4,Intermediário
Masculino,29,86.1,27.8,24.9,Peso Normal,Vegetariana,HIIT,4,Avançado
Masculino,31,59.5,24.6,21.59,Peso Normal,Balanceada,Cardio,1,Iniciante
Feminino,25,81.3,34.1,31.36,Obesidade Grau I,Balanceada,Yoga,3,Avançado
Feminino,18,83.2,24.6,21.67,Peso Normal,Vegetariana,Yoga,4,Avançado
Masculino,53,86.5,24.8,23.22,Peso Normal,Paleolítica,Força,5,Avançado
Masculino,53,67.2,28.7,23.26,Peso Normal,Cetogênica,Yoga,4,Intermediário
Feminino,56,55.3,19.2,15.0,Abaixo do Peso,Balanceada,HIIT,3,Iniciante
Feminino,49,90.0,33.4,31.89,Obesidade Grau I,Paleolítica,HIIT,5,Avançado
Masculino,56,55.7,25.9,23.78,Peso Normal,Cetogênica,Força,4,Intermediário
Feminino,24,56.2,21.4,18.14,Abaixo do Peso,Vegetariana,Força,3,Intermediário
Masculino,27,121.7,35.0,32.34,Obesidade Grau I,Vegana,Força,4,Intermediário
Masculino,40,66.2,23.9,21.88,Peso Normal,Vegetariana,Cardio,2,Iniciante
Masculino,47,50.2,21.8,17.56,Abaixo do Peso,Vegetariana,Força,2,Intermediário
Feminino,19,95.5,32.4,27.91,Sobrepeso,Vegetariana,Força,3,Iniciante
Feminino,37,91.3,30.6,29.13,Sobrepeso,Cetogênica,Cardio,1,Iniciante
Feminino,43,112.8,32.6,33.67,Obesidade Grau I,Vegana,Yoga,3,Intermediário
Feminino,43,42.1,18.5,15.29,Abaixo do Peso,Vegetariana,Força,1,Iniciante
Feminino,30,66.7,25.8,23.91,Peso Normal,Balanceada,Força,4,Intermediário
Masculino,26,71.9,28.5,26.11,Sobrepeso,Vegana,Cardio,2,Iniciante
Feminino,46,60.3,23.9,22.13,Peso Normal,Balanceada,Força,3,Avançado
Masculino,38,104.9,29.0,26.48,Sobrepeso,Vegetariana,HIIT,2,Iniciante
Masculino,53,72.7,22.0,23.47,Peso Normal,Vegetariana,Yoga,3,Intermediário
Feminino,34,52.5,20.7,16.56,Abaixo do Peso,Vegana,Yoga,4,Intermediário
Masculino,18,118.4,35.0,44.03,Obesidade Grau III,Vegana,Cardio,2,Iniciante
Masculino,49,62.3,25.1,22.59,Peso Normal,Vegana,HIIT,3,Intermediário
Masculino,18,87.3,26.0,23.44,Peso Normal,Paleolítica,Cardio,3,Avançado
Feminino,53,117.0,28.2,29.25,Sobrepeso,Cetogênica,Cardio,3,Iniciante
Feminino,24,57.5,23.6,23.05,Peso Normal,Cetogênica,Cardio,3,Iniciante
Feminino,55,90.2,35.0,34.8,Obesidade Grau I,Vegana,Força,3,Intermediário
Feminino,29,64.0,19.6,18.31,Abaixo do Peso,Balanceada,HIIT,2,Iniciante
Feminino,25,44.4,17.2,17.35,Abaixo do Peso,Baixo Carboidrato,Cardio,3,Iniciante
